month,total_duration_month,total_duration_month_aoe,total_duration_month_ao,total_duration_month_rem,avg_dur,avg_dur_aoe,avg_dur_ao,avg_dur_rem
9,29519.1,17758.85,11760.25,21110.717,36.806858,44.066624,29.47431,42.053219
10,16963.934,10087.85,6876.0835,12750.217,21.152037,25.031885,17.233292,25.398838
11,10443.134,7390.8833,3052.25,8156.4331,13.021364,18.339661,7.6497493,16.247875
12,8995.0498,6496.8169,2498.2334,7294.9668,11.215773,16.121134,6.2612367,14.531806
13,4729.3335,3543.1167,1186.2167,3745.6167,5.8969245,8.791853,2.9729741,7.4613876
14,3985.5833,2485.6833,1499.9,3202.75,4.9695554,6.1679487,3.7591479,6.3799801
15,3091.1499,2046.3334,1044.8167,2210.3833,3.8543017,5.0777502,2.6185882,4.4031539
16,1867.3334,1010.1833,857.15002,1360.9833,2.3283458,2.5066586,2.1482456,2.711122
17,1829.3667,1067.3167,762.04999,1369.1333,2.2810059,2.6484284,1.9098997,2.7273571
18,3352.0334,1821.5834,1530.45,2483.7834,4.1795926,4.5200582,3.8357141,4.9477758
19,5568.8335,3505.2334,2063.6001,3953.8,6.9436827,8.6978493,5.1719298,7.8760958
20,6348.4834,3076.9333,3271.55,4047.1167,7.9158149,7.6350703,8.1993732,8.061985
21,4462.9165,2248.1499,2214.7666,3264.3167,5.564734,5.5785356,5.5507936,6.5026226
22,2487.9167,1404.0333,1083.8833,1825.4833,3.1021407,3.4839537,2.7164996,3.636421
23,3284.55,2630.8667,653.68335,1470.3,4.095449,6.5282054,1.6383041,2.9288845
24,2416.3333,1348.4667,1067.8667,1328.1833,3.0128844,3.3460712,2.6763577,2.6457837
25,2294.1499,1252.5167,1041.6333,1748.9667,2.8605361,3.1079819,2.6106098,3.4839973
26,2123.2,1250.65,872.54999,1679.0834,2.6473815,3.1033499,2.186842,3.3447876
27,1458.4833,793.75,664.73334,1065.15,1.8185577,1.9696029,1.6659983,2.1218128
28,1785.35,899.83331,885.51666,991.70001,2.2261221,2.232837,2.2193401,1.9754981
29,1782.4667,1070.7833,711.68335,1199.7167,2.222527,2.6570306,1.7836676,2.3898737
30,2304,1166.4166,1137.5834,1577.15,2.872818,2.8943341,2.8510861,3.1417332
31,4174.9834,2728.3501,1446.6333,2883.2666,5.2057152,6.7700996,3.6256473,5.7435589
32,1699.85,943.70001,755.43335,950.5,2.1195138,2.3416874,1.8933166,1.8934263
